Month,Carbon Dioxide (ppm)
0,319.44
1,320.44
2,320.89
3,322.14
4,322.16
5,321.87
6,321.21
7,318.87
8,317.82
9,317.3
10,318.87
11,319.42
12,320.62
13,321.59
14,322.39
15,323.7
16,324.08
17,323.75
18,322.39
19,320.36
20,318.64
21,318.1
22,319.79
23,321.03
24,322.32
25,322.5
26,323.04
27,324.42
28,325
29,324.09
30,322.55
31,320.92
32,319.25
33,319.39
34,320.72
35,321.96
36,322.57
37,323.14
38,323.89
39,325.02
40,325.57
41,325.36
42,324.14
43,322.11
44,320.33
45,320.25
46,321.32
47,322.89
48,324
49,324.42
50,325.63
51,326.66
52,327.38
53,326.7
54,325.88
55,323.66
56,322.38
57,321.78
58,322.85
59,324.12
